seed,scenario,population,cluster_count,within_cluster_probability,average_contacts,std_contacts,average_arrival_delay,cities_reached,peak_regional_infectious,peak_regional_infectious_day,epidemic_duration,total_infected,attack_rate,imported_infections
1000,clustered,100,5,0.9,3.9735537190082644,1.9908974640396417,11.0,2,3,10,26,7,0.07,1
1001,clustered,100,5,0.9,3.9931730769230764,1.9849832366589295,-1.0,1,2,7,26,5,0.05,0
1002,clustered,100,5,0.9,3.9991735537190083,2.00055865488695,15.0,2,6,35,46,20,0.2,2
1003,clustered,100,5,0.9,3.9938016528925617,2.0087064117476157,-1.0,1,1,2,14,2,0.02,0
1004,clustered,100,5,0.9,4.0414814814814815,1.9904698689192128,-1.0,1,1,2,7,1,0.01,0
1005,clustered,100,5,0.9,3.986859504132232,1.9919685172469102,-1.0,1,6,10,19,9,0.09,0
1006,clustered,100,5,0.9,3.9842148760330582,1.999249491012686,-1.0,1,1,2,7,1,0.01,0
1007,clustered,100,5,0.9,3.991900826446281,1.9944038850477526,-1.0,1,1,2,7,1,0.01,0
1008,clustered,100,5,0.9,4.011487603305785,2.004655044061053,46.0,2,6,17,67,27,0.27,1
1009,clustered,100,5,0.9,3.9969421487603305,1.9949549089496657,-1.0,1,4,12,38,16,0.16,0
1010,clustered,100,5,0.9,3.9903157894736836,1.99914994903248,-1.0,1,4,7,28,9,0.09,0
1011,clustered,100,5,0.9,4.034132231404959,2.0093904953428963,-1.0,1,1,2,7,1,0.01,0
1012,clustered,100,5,0.9,3.999090909090909,1.9922609858424485,36.0,2,7,17,52,32,0.32,1
1013,clustered,100,5,0.9,3.9671074380165283,1.9924704919775933,-1.0,1,1,2,7,1,0.01,0
1014,clustered,100,5,0.9,4.008512396694215,1.9965117244221364,-1.0,1,1,2,7,1,0.01,0
1015,clustered,100,5,0.9,4.014049586776859,1.9822060164237882,-1.0,1,2,27,39,7,0.07,0
1016,clustered,100,5,0.9,3.9731249999999996,2.007605657320243,-1.0,1,1,2,43,6,0.06,0
1017,clustered,100,5,0.9,4.015522388059702,1.988082903257176,-1.0,1,1,2,7,1,0.01,0
1018,clustered,100,5,0.9,3.986776859504132,1.9959159397986375,-1.0,1,1,2,7,1,0.01,0
1019,clustered,100,5,0.9,3.985,2.00661616240326,-1.0,1,2,7,12,2,0.02,0
1020,clustered,100,5,0.9,4.001142857142858,1.9995966223118549,-1.0,1,1,2,7,1,0.01,0
1021,clustered,100,5,0.9,3.9963636363636366,2.003486772316628,4.0,2,2,6,11,2,0.02,1
1022,clustered,100,5,0.9,3.9973972602739725,2.003339343575699,-1.0,1,5,14,31,12,0.12,0
1023,clustered,100,5,0.9,3.9959504132231407,2.00980748484288,-1.0,1,2,6,11,2,0.02,0
1024,clustered,100,5,0.9,3.9651239669421487,1.9969696025546733,-1.0,1,1,2,13,2,0.02,0
1025,clustered,100,5,0.9,4.002479338842975,2.016455133004285,26.0,2,5,33,62,19,0.19,1
1026,clustered,100,5,0.9,4.013140495867768,2.001705622068334,-1.0,1,3,23,35,8,0.08,0
1027,clustered,100,5,0.9,3.9897520661157024,2.0004729097482863,-1.0,1,1,2,14,2,0.02,0
1028,clustered,100,5,0.9,3.980204081632653,1.997785519941465,-1.0,1,1,2,14,2,0.02,0
1029,clustered,100,5,0.9,3.9863636363636363,1.9912608045002695,-1.0,1,1,2,7,1,0.01,0
1030,clustered,100,5,0.9,4.019421487603306,2.00090405208634,-1.0,1,2,5,22,4,0.04,0
1031,clustered,100,5,0.9,3.9928925619834708,2.0117569837378166,-1.0,1,3,24,29,7,0.07,0
1032,clustered,100,5,0.9,3.98198347107438,1.9903245475278981,-1.0,1,1,2,7,1,0.01,0
1033,clustered,100,5,0.9,3.9604166666666667,1.9800904551775957,-1.0,1,3,10,26,7,0.07,0
1034,clustered,100,5,0.9,3.992314049586777,1.9816065321632674,-1.0,1,2,6,11,2,0.02,0
1035,clustered,100,5,0.9,4.006352941176471,1.9814803289606004,-1.0,1,3,10,15,4,0.04,0
1036,clustered,100,5,0.9,3.982696629213483,1.9954609303885174,11.0,2,3,13,37,7,0.07,1
1037,clustered,100,5,0.9,4.094444444444445,1.9730954291761884,-1.0,1,1,2,7,1,0.01,0
1038,clustered,100,5,0.9,4.027575757575757,1.9963733632451932,-1.0,1,5,18,23,8,0.08,0
1039,clustered,100,5,0.9,3.9860330578512393,1.9939271683280395,-1.0,1,1,2,7,1,0.01,0
1040,clustered,100,5,0.9,4.003223140495868,1.9690036737155965,-1.0,1,4,11,18,6,0.06,0
1041,clustered,100,5,0.9,4.017107438016529,1.9925917574461174,-1.0,1,1,2,7,1,0.01,0
1042,clustered,100,5,0.9,4.006033057851239,2.0003231041752905,34.0,2,7,36,53,23,0.23,1
1043,clustered,100,5,0.9,4.00875,1.9903852704993112,-1.0,1,4,10,25,9,0.09,0
1044,clustered,100,5,0.9,3.9812396694214875,1.994064056148981,-1.0,1,1,2,7,1,0.01,0
1045,clustered,100,5,0.9,4.036280991735537,1.9927109949085686,-1.0,1,3,6,14,4,0.04,0
1046,clustered,100,5,0.9,3.9995714285714286,2.0058841082011094,-1.0,1,2,5,10,2,0.02,0
1047,clustered,100,5,0.9,4.0323529411764705,1.9922370055666243,-1.0,1,1,2,7,1,0.01,0
1048,clustered,100,5,0.9,4.010606060606061,1.9912997716402656,-1.0,1,3,14,25,6,0.06,0
1049,clustered,100,5,0.9,4.006280991735537,2.0011162205874515,26.0,2,4,32,58,17,0.17,1
1050,clustered,100,5,0.9,4.010413223140496,2.0019755675167605,-1.0,1,2,7,12,2,0.02,0
1051,clustered,100,5,0.9,3.9925862068965516,2.0011556284790575,12.0,2,3,6,40,7,0.07,1
1052,clustered,100,5,0.9,3.986019417475728,1.9979251275411065,-1.0,1,4,13,18,6,0.06,0
1053,clustered,100,5,0.9,4.0404132231404954,2.0096796690587935,-1.0,1,1,2,7,1,0.01,0
1054,clustered,100,5,0.9,4.012561983471074,1.9883829699558906,-1.0,1,1,2,14,2,0.02,0
1055,clustered,100,5,0.9,4.005371900826446,1.9943509669693458,26.0,2,5,38,66,23,0.23,2
1056,clustered,100,5,0.9,4.006198347107437,2.0027922407155936,-1.0,1,1,2,22,3,0.03,0
1057,clustered,100,5,0.9,3.9739316239316236,1.9991250154423628,9.0,2,6,12,23,11,0.11,1
1058,clustered,100,5,0.9,4.005454545454546,1.9888084627584521,9.0,2,3,11,18,5,0.05,1
1059,clustered,100,5,0.9,3.9901408450704223,1.989980575684671,-1.0,1,6,11,61,28,0.28,0
1060,clustered,100,5,0.9,3.9608333333333334,1.9873205077629343,-1.0,1,4,24,32,10,0.1,0
1061,clustered,100,5,0.9,4.019310344827586,2.000124515974946,-1.0,1,3,7,18,4,0.04,0
1062,clustered,100,5,0.9,4.038181818181818,1.9951475746824032,21.0,2,7,45,63,31,0.31,1
1063,clustered,100,5,0.9,3.997685950413223,2.0134248895332467,15.0,2,8,13,34,19,0.19,2
1064,clustered,100,5,0.9,4.0074380165289245,1.9957302740011844,-1.0,1,1,2,13,2,0.02,0
1065,clustered,100,5,0.9,3.99125,2.0214728369142785,6.0,2,1,2,13,2,0.02,1
1066,clustered,100,5,0.9,4.00297520661157,1.9894524610552147,-1.0,1,1,2,7,1,0.01,0
1067,clustered,100,5,0.9,4.0257851239669415,1.9841039687922133,10.0,2,6,19,47,20,0.2,1
1068,clustered,100,5,0.9,4.029795918367347,1.9946466839305201,-1.0,1,2,6,29,5,0.05,0
1069,clustered,100,5,0.9,3.9833057851239664,1.9973081830767194,-1.0,1,2,6,19,4,0.04,0
1070,clustered,100,5,0.9,3.9847933884297517,1.978842415910588,28.0,2,6,38,62,31,0.31,2
1071,clustered,100,5,0.9,4.0099173553719005,2.001649055270664,-1.0,1,1,2,7,1,0.01,0
1072,clustered,100,5,0.9,3.9658333333333333,1.9599874587493893,-1.0,1,3,6,18,4,0.04,0
1073,clustered,100,5,0.9,4.004462809917356,2.0033917546307713,-1.0,1,1,2,7,1,0.01,0
1074,clustered,100,5,0.9,3.9843076923076923,1.999478657807182,18.0,2,2,12,53,10,0.1,1
1075,clustered,100,5,0.9,3.982561983471074,1.9919805527989958,-1.0,1,2,12,17,3,0.03,0
1076,clustered,100,5,0.9,4.02025,2.008346944728288,-1.0,1,4,14,19,7,0.07,0
1077,clustered,100,5,0.9,3.972809917355372,2.002065209302085,-1.0,1,1,2,7,1,0.01,0
1078,clustered,100,5,0.9,4.0275,2.0030917790727916,4.0,2,2,6,11,2,0.02,1
1079,clustered,100,5,0.9,4.1033333333333335,2.0156261230819306,-1.0,1,1,2,7,1,0.01,0
1080,clustered,100,5,0.9,4.033529411764706,1.9899039827867406,-1.0,1,3,10,15,4,0.04,0
1081,clustered,100,5,0.9,4.022380952380953,2.001624719809193,-1.0,1,1,2,7,1,0.01,0
1082,clustered,100,5,0.9,3.991555555555555,1.978122819630434,-1.0,1,2,6,37,8,0.08,0
1083,clustered,100,5,0.9,3.9878512396694212,2.011399134793692,-1.0,1,6,12,17,7,0.07,0
1084,clustered,100,5,0.9,4.024322033898305,2.002877604901199,-1.0,1,1,2,7,1,0.01,0
1085,clustered,100,5,0.9,3.9939669421487602,2.010229076005987,32.0,2,2,6,46,10,0.1,1
1086,clustered,100,5,0.9,3.9684297520661156,2.0011645624931775,-1.0,1,2,5,14,3,0.03,0
1087,clustered,100,5,0.9,4.011489361702129,1.9960743673879335,-1.0,1,1,2,7,1,0.01,0
1088,clustered,100,5,0.9,3.966458333333333,1.9921238321254684,17.0,2,6,37,46,24,0.24,1
1089,clustered,100,5,0.9,4.03406779661017,2.0007895045464887,-1.0,1,2,5,19,4,0.04,0
1090,clustered,100,5,0.9,3.9821487603305785,1.9966920698258432,-1.0,1,1,2,15,2,0.02,0
1091,clustered,100,5,0.9,4.01495867768595,1.9975016214157169,-1.0,1,6,14,27,13,0.13,0
1092,clustered,100,5,0.9,4.000082644628099,2.0039516479094366,-1.0,1,5,21,43,17,0.17,0
1093,clustered,100,5,0.9,3.9762105263157888,2.0001242572258904,-1.0,1,3,16,29,8,0.08,0
1094,clustered,100,5,0.9,4.0320175438596495,1.9942016458616971,33.0,2,10,62,91,54,0.54,1
1095,clustered,100,5,0.9,3.9761157024793383,1.9905742825323702,-1.0,1,1,2,36,5,0.05,0
1096,clustered,100,5,0.9,4.018429752066115,2.000746183749459,-1.0,1,4,9,14,5,0.05,0
1097,clustered,100,5,0.9,4.020247933884297,1.9850064313126907,-1.0,1,4,27,32,8,0.08,0
1098,clustered,100,5,0.9,4.013553719008264,1.9889654236161616,-1.0,1,3,7,36,8,0.08,0
1099,clustered,100,5,0.9,3.9945454545454546,1.986963915221683,15.0,2,5,17,33,11,0.11,1

metric,mean,std,ci95,n
average_outbreak_delay,19.333333333333332,11.358454681585133,4.544328311947025,24
cities_reached,1.24,0.42923469599092784,0.08413000041422185,100
peak_infections,2.86,2.0251948403583646,0.3969381887102395,100
peak_infection_day,10.63,11.387264727747308,2.2319038866384724,100
epidemic_duration,24.14,18.0286080181113,3.5336071715498143,100
attack_rate,0.07540000000000001,0.09024568038572721,0.017688153355602535,100
imported_infections,0.28,0.5333333333333333,0.10453333333333333,100
