day,susceptible,exposed,infectious,recovered,new_exposed,new_infectious,new_recovered
0,49,1,0,0,1,0,0
1,49,1,0,0,0,0,0
2,49,0,1,0,0,1,0
3,49,0,1,0,0,0,0
4,49,0,1,0,0,0,0
5,49,0,1,0,0,0,0
6,49,0,1,0,0,0,0
7,49,0,1,0,0,0,0
8,48,1,0,1,1,0,1
9,48,1,0,1,0,0,0
10,48,0,1,1,0,1,0
11,48,0,1,1,0,0,0
12,48,0,1,1,0,0,0
13,48,0,1,1,0,0,0
14,48,0,1,1,0,0,0
15,47,1,1,1,1,0,0
16,47,1,0,2,0,0,1
17,47,0,1,2,0,1,0
18,47,0,1,2,0,0,0
19,46,1,1,2,1,0,0
20,46,1,1,2,0,0,0
21,46,0,2,2,0,1,0
22,46,0,2,2,0,0,0
23,46,0,1,3,0,0,1
24,46,0,1,3,0,0,0
25,46,0,1,3,0,0,0
26,46,0,1,3,0,0,0
27,46,0,0,4,0,0,1
