seed,average_arrival_delay,cities_reached,peak_regional_infectious,peak_regional_infectious_day,epidemic_duration,total_infected,attack_rate,imported_infections
0,-1.0,1,19,73,140,180,0.9,0
1,-1.0,1,35,30,63,177,0.885,0
2,-1.0,1,29,46,116,174,0.87,0
3,-1.0,1,41,43,92,184,0.92,0
4,-1.0,1,42,35,73,191,0.955,0
5,-1.0,1,31,39,79,184,0.92,0
6,-1.0,1,31,47,102,188,0.94,0
7,-1.0,1,29,30,73,171,0.855,0
8,-1.0,1,26,31,99,184,0.92,0
9,-1.0,1,35,35,61,178,0.89,0
10,-1.0,1,27,31,80,185,0.925,0
11,-1.0,1,28,40,93,178,0.89,0
12,-1.0,1,34,68,134,182,0.91,0
13,-1.0,1,42,37,81,182,0.91,0
14,-1.0,1,30,53,74,188,0.94,0
15,-1.0,1,49,37,63,182,0.91,0
16,-1.0,1,29,37,91,171,0.855,0
17,-1.0,1,44,61,87,179,0.895,0
18,-1.0,1,30,59,112,189,0.945,0
19,-1.0,1,24,53,81,171,0.855,0
20,-1.0,1,31,36,94,182,0.91,0
21,-1.0,1,39,67,103,179,0.895,0
22,-1.0,1,31,24,84,174,0.87,0
23,-1.0,1,30,59,91,167,0.835,0
24,-1.0,1,34,27,80,180,0.9,0
25,-1.0,1,40,37,73,174,0.87,0
26,-1.0,1,36,48,105,192,0.96,0
27,-1.0,1,45,39,59,189,0.945,0
28,-1.0,1,38,37,71,188,0.94,0
29,-1.0,1,34,56,87,178,0.89,0
30,-1.0,1,31,35,85,161,0.805,0
31,-1.0,1,41,39,76,190,0.95,0
32,-1.0,1,32,34,92,195,0.975,0
33,-1.0,1,37,24,56,159,0.795,0
34,-1.0,1,32,30,79,168,0.84,0
35,-1.0,1,30,51,92,173,0.865,0
36,-1.0,1,28,56,150,183,0.915,0
37,-1.0,1,37,32,74,144,0.72,0
38,-1.0,1,27,43,101,179,0.895,0
39,-1.0,1,41,41,55,169,0.845,0
40,-1.0,1,35,43,77,179,0.895,0
41,-1.0,1,25,33,81,173,0.865,0
42,-1.0,1,22,28,118,149,0.745,0
43,-1.0,1,34,36,75,164,0.82,0
44,-1.0,1,37,26,92,181,0.905,0
45,-1.0,1,26,48,98,172,0.86,0
46,-1.0,1,31,31,66,175,0.875,0
47,-1.0,1,31,58,91,174,0.87,0
48,-1.0,1,17,50,105,153,0.765,0
49,-1.0,1,38,44,70,177,0.885,0
50,-1.0,1,29,27,62,134,0.67,0
51,-1.0,1,34,43,77,184,0.92,0
52,-1.0,1,22,54,112,168,0.84,0
53,-1.0,1,27,33,84,186,0.93,0
54,-1.0,1,30,37,77,182,0.91,0
55,-1.0,1,30,46,90,168,0.84,0
56,-1.0,1,44,27,63,175,0.875,0
57,-1.0,1,32,34,77,186,0.93,0
58,-1.0,1,42,33,75,185,0.925,0
59,-1.0,1,31,37,100,177,0.885,0
60,-1.0,1,28,42,79,173,0.865,0
61,-1.0,1,26,29,81,180,0.9,0
62,-1.0,1,36,35,72,187,0.935,0
63,-1.0,1,26,71,107,166,0.83,0
64,-1.0,1,30,41,85,188,0.94,0
65,-1.0,1,38,45,79,179,0.895,0
66,-1.0,1,40,30,62,182,0.91,0
67,-1.0,1,31,43,86,171,0.855,0
68,-1.0,1,40,40,65,185,0.925,0
69,-1.0,1,27,41,87,165,0.825,0
70,-1.0,1,24,56,99,182,0.91,0
71,-1.0,1,39,57,87,175,0.875,0
72,-1.0,1,25,51,90,180,0.9,0
73,-1.0,1,39,32,67,176,0.88,0
74,-1.0,1,31,30,74,177,0.885,0
75,-1.0,1,32,39,76,169,0.845,0
76,-1.0,1,37,32,64,164,0.82,0
77,-1.0,1,36,30,63,184,0.92,0
78,-1.0,1,40,33,72,193,0.965,0
79,-1.0,1,41,36,73,184,0.92,0
80,-1.0,1,32,46,76,175,0.875,0
81,-1.0,1,30,39,76,160,0.8,0
82,-1.0,1,34,33,76,187,0.935,0
83,-1.0,1,47,31,58,196,0.98,0
84,-1.0,1,49,34,65,192,0.96,0
85,-1.0,1,42,30,62,180,0.9,0
86,-1.0,1,37,42,82,184,0.92,0
87,-1.0,1,29,31,113,192,0.96,0
88,-1.0,1,28,33,91,172,0.86,0
89,-1.0,1,40,31,65,180,0.9,0
90,-1.0,1,31,55,86,191,0.955,0
91,-1.0,1,38,51,73,185,0.925,0
92,-1.0,1,3,7,24,6,0.03,0
93,-1.0,1,31,34,76,155,0.775,0
94,-1.0,1,37,55,82,187,0.935,0
95,-1.0,1,32,41,73,186,0.93,0
96,-1.0,1,26,74,150,184,0.92,0
97,-1.0,1,35,65,119,182,0.91,0
98,-1.0,1,22,62,86,184,0.92,0
99,-1.0,1,32,39,79,190,0.95,0

metric,mean,std,ci95,n
average_outbreak_delay,nan,nan,nan,0
cities_reached,1.0,0.0,0.0,100
peak_infections,32.87,7.086272117640736,1.3889093350575843,100
peak_infection_day,41.14,12.174671505327208,2.3862356150441326,100
epidemic_duration,83.71,19.89482192415754,3.8993850971348776,100
attack_rate,0.8806000000000002,0.10159157684005345,0.019911949060650472,100
imported_infections,0.0,0.0,0.0,100
