day,scenario,city,mean,std
0,regular_regular,A,0.0,0.0
1,regular_regular,A,0.0,0.0
2,regular_regular,A,1.0,0.0
3,regular_regular,A,1.0,0.0
4,regular_regular,A,1.0,0.0
5,regular_regular,A,1.1666666666666667,0.3726779962499649
6,regular_regular,A,1.3,0.5259911279353167
7,regular_regular,A,1.6,0.7571877794400363
8,regular_regular,A,0.7333333333333333,0.8537498983243796
9,regular_regular,A,1.0,1.0327955589886444
10,regular_regular,A,1.2333333333333334,1.2297244497131143
11,regular_regular,A,1.1666666666666667,1.2931443160847218
12,regular_regular,A,1.1666666666666667,1.3186693629901658
13,regular_regular,A,1.0666666666666667,1.4126413400278062
14,regular_regular,A,1.1333333333333333,1.4313940369055926
15,regular_regular,A,1.1333333333333333,1.4996295838935991
16,regular_regular,A,1.1333333333333333,1.687865186822955
17,regular_regular,A,1.2333333333333334,1.7065234314893605
18,regular_regular,A,1.3333333333333333,1.885618083164127
19,regular_regular,A,1.4333333333333333,2.108448613449129
20,regular_regular,A,1.3666666666666667,2.15225979431439
21,regular_regular,A,1.4,2.0752509888364505
22,regular_regular,A,1.5,2.262005010309806
23,regular_regular,A,1.4666666666666666,2.276449477195183
24,regular_regular,A,1.3666666666666667,2.105284356618417
25,regular_regular,A,1.4,2.0912516188477492
26,regular_regular,A,1.4,2.1847959477565255
27,regular_regular,A,1.1666666666666667,1.8454147380888546
28,regular_regular,A,1.1333333333333333,1.7838784213679537
29,regular_regular,A,1.1,1.8321208111548393
30,regular_regular,A,1.1333333333333333,1.8749814813900314
31,regular_regular,A,0.9333333333333333,1.5260697523012796
32,regular_regular,A,0.9333333333333333,1.4126413400278062
33,regular_regular,A,1.1333333333333333,1.746106780494506
34,regular_regular,A,0.9666666666666667,1.6017351702311948
35,regular_regular,A,1.0,1.61245154965971
36,regular_regular,A,1.0666666666666667,1.7307673314329557
37,regular_regular,A,1.0,1.6532795690182993
38,regular_regular,A,0.9,1.556705923844749
39,regular_regular,A,0.7333333333333333,1.2364824660660936
40,regular_regular,A,0.7333333333333333,1.436043948569201
41,regular_regular,A,0.6666666666666666,1.398411797560202
42,regular_regular,A,0.4666666666666667,0.9568466729604881
43,regular_regular,A,0.4666666666666667,0.8844332774281064
44,regular_regular,A,0.5,1.02469507659596
45,regular_regular,A,0.5,1.02469507659596
46,regular_regular,A,0.43333333333333335,1.0225241100118647
47,regular_regular,A,0.36666666666666664,0.9122621455602672
48,regular_regular,A,0.4,1.0832051206181277
49,regular_regular,A,0.4666666666666667,1.2310790208412923
50,regular_regular,A,0.43333333333333335,1.0546194679704248
51,regular_regular,A,0.43333333333333335,1.1742609969205688
52,regular_regular,A,0.4,0.9865765724632496
53,regular_regular,A,0.36666666666666664,0.9122621455602672
54,regular_regular,A,0.3,0.7371114795831993
55,regular_regular,A,0.16666666666666666,0.45338235029118146
56,regular_regular,A,0.13333333333333333,0.42687494916218993
57,regular_regular,A,0.06666666666666667,0.24944382578492943
58,regular_regular,A,0.03333333333333333,0.1795054935711501
59,regular_regular,A,0.03333333333333333,0.1795054935711501
60,regular_regular,A,0.03333333333333333,0.1795054935711501
61,regular_regular,A,0.03333333333333333,0.1795054935711501
62,regular_regular,A,0.03333333333333333,0.1795054935711501
63,regular_regular,A,0.0,0.0
64,regular_regular,A,0.0,0.0
65,regular_regular,A,0.0,0.0
66,regular_regular,A,0.0,0.0
67,regular_regular,A,0.0,0.0
68,regular_regular,A,0.0,0.0
69,regular_regular,A,0.0,0.0
