seed,scenario,city,peak_infectious
1000,regular_regular,A,1
1001,regular_regular,A,5
1002,regular_regular,A,1
1003,regular_regular,A,1
1004,regular_regular,A,1
1005,regular_regular,A,1
1006,regular_regular,A,1
1007,regular_regular,A,4
1008,regular_regular,A,6
1009,regular_regular,A,2
1010,regular_regular,A,1
1011,regular_regular,A,8
1012,regular_regular,A,4
1013,regular_regular,A,3
1014,regular_regular,A,9
1015,regular_regular,A,1
1016,regular_regular,A,2
1017,regular_regular,A,5
1018,regular_regular,A,6
1019,regular_regular,A,4
1020,regular_regular,A,3
1021,regular_regular,A,5
1022,regular_regular,A,1
1023,regular_regular,A,2
1024,regular_regular,A,1
1025,regular_regular,A,2
1026,regular_regular,A,5
1027,regular_regular,A,1
1028,regular_regular,A,1
1029,regular_regular,A,9
1000,regular_regular,B,0
1001,regular_regular,B,0
1002,regular_regular,B,0
1003,regular_regular,B,0
1004,regular_regular,B,0
1005,regular_regular,B,0
1006,regular_regular,B,0
1007,regular_regular,B,0
1008,regular_regular,B,0
1009,regular_regular,B,0
1010,regular_regular,B,0
1011,regular_regular,B,2
1012,regular_regular,B,1
1013,regular_regular,B,0
1014,regular_regular,B,0
1015,regular_regular,B,0
1016,regular_regular,B,0
1017,regular_regular,B,0
1018,regular_regular,B,0
1019,regular_regular,B,0
1020,regular_regular,B,0
1021,regular_regular,B,0
1022,regular_regular,B,0
1023,regular_regular,B,0
1024,regular_regular,B,0
1025,regular_regular,B,0
1026,regular_regular,B,1
1027,regular_regular,B,0
1028,regular_regular,B,0
1029,regular_regular,B,11
1000,clustered_regular,A,3
1001,clustered_regular,A,1
1002,clustered_regular,A,1
1003,clustered_regular,A,3
1004,clustered_regular,A,3
1005,clustered_regular,A,2
1006,clustered_regular,A,2
1007,clustered_regular,A,2
1008,clustered_regular,A,1
1009,clustered_regular,A,2
1010,clustered_regular,A,2
1011,clustered_regular,A,2
1012,clustered_regular,A,4
1013,clustered_regular,A,2
1014,clustered_regular,A,1
1015,clustered_regular,A,4
1016,clustered_regular,A,2
1017,clustered_regular,A,1
1018,clustered_regular,A,2
1019,clustered_regular,A,3
1020,clustered_regular,A,3
1021,clustered_regular,A,1
1022,clustered_regular,A,1
1023,clustered_regular,A,6
1024,clustered_regular,A,2
1025,clustered_regular,A,1
1026,clustered_regular,A,3
1027,clustered_regular,A,4
1028,clustered_regular,A,4
1029,clustered_regular,A,2
1000,clustered_regular,B,0
1001,clustered_regular,B,0
1002,clustered_regular,B,0
1003,clustered_regular,B,0
1004,clustered_regular,B,0
1005,clustered_regular,B,1
1006,clustered_regular,B,0
1007,clustered_regular,B,0
1008,clustered_regular,B,0
1009,clustered_regular,B,0
1010,clustered_regular,B,0
1011,clustered_regular,B,0
1012,clustered_regular,B,0
1013,clustered_regular,B,0
1014,clustered_regular,B,0
1015,clustered_regular,B,0
1016,clustered_regular,B,0
1017,clustered_regular,B,0
1018,clustered_regular,B,0
1019,clustered_regular,B,0
1020,clustered_regular,B,4
1021,clustered_regular,B,0
1022,clustered_regular,B,0
1023,clustered_regular,B,1
1024,clustered_regular,B,0
1025,clustered_regular,B,0
1026,clustered_regular,B,0
1027,clustered_regular,B,0
1028,clustered_regular,B,0
1029,clustered_regular,B,0
