day,susceptible,exposed,infectious,recovered,new_exposed,new_infectious,new_recovered
0,49,1,0,0,1,0,0
1,49,1,0,0,0,0,0
2,49,0,1,0,0,1,0
3,49,0,1,0,0,0,0
4,48,1,1,0,1,0,0
5,48,1,1,0,0,0,0
6,48,0,2,0,0,1,0
7,48,0,2,0,0,0,0
8,47,1,1,1,1,0,1
9,47,1,1,1,0,0,0
10,47,0,2,1,0,1,0
11,46,1,2,1,1,0,0
12,46,1,1,2,0,0,1
13,46,0,2,2,0,1,0
14,46,0,2,2,0,0,0
15,45,1,2,2,1,0,0
16,45,1,1,3,0,0,1
17,44,1,2,3,1,1,0
18,44,1,2,3,0,0,0
19,43,1,2,4,1,1,1
20,43,1,2,4,0,0,0
21,43,0,3,4,0,1,0
22,43,0,3,4,0,0,0
23,41,2,2,5,2,0,1
24,39,4,2,5,2,0,0
25,39,2,3,6,0,2,1
26,39,0,5,6,0,2,0
27,39,0,4,7,0,0,1
28,37,2,4,7,2,0,0
29,34,5,4,7,3,0,0
30,34,3,6,7,0,2,0
31,33,1,7,9,1,3,2
32,32,2,5,11,1,0,2
33,31,2,6,11,1,1,0
34,31,1,7,11,0,1,0
35,30,1,8,11,1,1,0
36,30,1,6,13,0,0,2
37,28,2,4,16,2,1,3
38,27,3,4,16,1,0,0
39,27,1,5,17,0,2,1
40,26,1,5,18,1,1,1
41,26,1,4,19,0,0,1
42,26,0,5,19,0,1,0
43,25,1,4,20,1,0,1
44,23,3,4,20,2,0,0
45,23,2,3,22,0,1,2
46,22,1,4,23,1,2,1
47,21,2,4,23,1,0,0
48,21,1,4,24,0,1,1
49,21,0,5,24,0,1,0
50,20,1,5,24,1,0,0
51,20,1,4,25,0,0,1
52,20,0,3,27,0,1,2
53,19,1,3,27,1,0,0
54,19,1,2,28,0,0,1
55,19,0,2,29,0,1,1
56,19,0,2,29,0,0,0
57,18,1,2,29,1,0,0
58,18,1,1,30,0,0,1
59,18,0,2,30,0,1,0
60,18,0,2,30,0,0,0
61,18,0,1,31,0,0,1
62,18,0,1,31,0,0,0
63,18,0,1,31,0,0,0
64,18,0,1,31,0,0,0
65,18,0,0,32,0,0,1
