seed,average_arrival_delay,cities_reached,peak_regional_infectious,peak_regional_infectious_day,epidemic_duration,total_infected,attack_rate,imported_infections
0,-1.0,1,7,12,38,18,0.09,0
1,-1.0,1,13,21,54,46,0.23,0
2,-1.0,1,17,33,55,43,0.215,0
3,-1.0,1,28,35,75,102,0.51,0
4,-1.0,1,3,13,26,7,0.035,0
5,-1.0,1,2,2,7,2,0.01,0
6,-1.0,1,11,34,54,63,0.315,0
7,-1.0,1,19,45,87,111,0.555,0
8,-1.0,1,11,16,79,65,0.325,0
9,-1.0,1,17,48,80,106,0.53,0
10,-1.0,1,6,13,36,14,0.07,0
11,-1.0,1,12,18,74,78,0.39,0
12,-1.0,1,3,6,25,5,0.025,0
13,-1.0,1,19,54,96,122,0.61,0
14,-1.0,1,12,69,97,97,0.485,0
15,-1.0,1,3,5,34,6,0.03,0
16,-1.0,1,7,27,92,58,0.29,0
17,-1.0,1,3,5,18,6,0.03,0
18,-1.0,1,3,6,11,3,0.015,0
19,-1.0,1,3,5,10,3,0.015,0
20,-1.0,1,8,16,112,71,0.355,0
21,-1.0,1,12,44,66,57,0.285,0
22,-1.0,1,6,57,74,40,0.2,0
23,-1.0,1,12,38,79,79,0.395,0
24,-1.0,1,7,47,59,25,0.125,0
25,-1.0,1,10,41,80,67,0.335,0
26,-1.0,1,8,32,65,43,0.215,0
27,-1.0,1,6,24,87,48,0.24,0
28,-1.0,1,3,6,11,3,0.015,0
29,-1.0,1,17,47,94,83,0.415,0
30,-1.0,1,23,29,71,104,0.52,0
31,-1.0,1,9,28,75,56,0.28,0
32,-1.0,1,12,39,88,59,0.295,0
33,-1.0,1,3,5,23,5,0.025,0
34,-1.0,1,5,10,37,12,0.06,0
35,-1.0,1,7,20,34,19,0.095,0
36,-1.0,1,3,7,47,11,0.055,0
37,-1.0,1,12,44,76,80,0.4,0
38,-1.0,1,8,16,50,30,0.15,0
39,-1.0,1,8,19,68,48,0.24,0
40,-1.0,1,12,35,97,85,0.425,0
41,-1.0,1,7,17,34,21,0.105,0
42,-1.0,1,5,10,40,16,0.08,0
43,-1.0,1,20,36,73,103,0.515,0
44,-1.0,1,2,2,7,2,0.01,0
45,-1.0,1,2,2,7,2,0.01,0
46,-1.0,1,11,74,137,105,0.525,0
47,-1.0,1,2,2,7,2,0.01,0
48,-1.0,1,4,7,17,5,0.025,0
49,-1.0,1,12,47,92,76,0.38,0
50,-1.0,1,15,50,99,97,0.485,0
51,-1.0,1,2,2,7,2,0.01,0
52,-1.0,1,9,30,82,64,0.32,0
53,-1.0,1,2,2,7,2,0.01,0
54,-1.0,1,2,2,28,5,0.025,0
55,-1.0,1,9,38,74,44,0.22,0
56,-1.0,1,18,64,88,108,0.54,0
57,-1.0,1,3,12,24,6,0.03,0
58,-1.0,1,18,26,57,74,0.37,0
59,-1.0,1,4,33,44,13,0.065,0
60,-1.0,1,12,26,43,37,0.185,0
61,-1.0,1,7,13,52,23,0.115,0
62,-1.0,1,3,6,24,5,0.025,0
63,-1.0,1,2,2,7,2,0.01,0
64,-1.0,1,3,5,13,4,0.02,0
65,-1.0,1,11,46,60,50,0.25,0
66,-1.0,1,20,35,80,107,0.535,0
67,-1.0,1,14,38,76,69,0.345,0
68,-1.0,1,2,2,7,2,0.01,0
69,-1.0,1,15,34,101,91,0.455,0
70,-1.0,1,10,47,101,58,0.29,0
71,-1.0,1,15,70,103,87,0.435,0
72,-1.0,1,16,71,111,96,0.48,0
73,-1.0,1,2,2,15,4,0.02,0
74,-1.0,1,21,43,74,99,0.495,0
75,-1.0,1,9,11,46,30,0.15,0
76,-1.0,1,2,2,15,3,0.015,0
77,-1.0,1,16,42,96,106,0.53,0
78,-1.0,1,2,2,7,2,0.01,0
79,-1.0,1,18,33,97,86,0.43,0
80,-1.0,1,4,24,42,15,0.075,0
81,-1.0,1,8,54,74,51,0.255,0
82,-1.0,1,7,36,68,36,0.18,0
83,-1.0,1,3,7,12,3,0.015,0
84,-1.0,1,3,5,10,3,0.015,0
85,-1.0,1,4,7,19,5,0.025,0
86,-1.0,1,4,7,27,8,0.04,0
87,-1.0,1,3,7,33,7,0.035,0
88,-1.0,1,4,6,17,5,0.025,0
89,-1.0,1,12,32,83,73,0.365,0
90,-1.0,1,2,2,17,4,0.02,0
91,-1.0,1,10,29,46,31,0.155,0
92,-1.0,1,12,46,85,62,0.31,0
93,-1.0,1,4,14,23,7,0.035,0
94,-1.0,1,19,48,94,100,0.5,0
95,-1.0,1,12,41,67,56,0.28,0
96,-1.0,1,2,2,14,3,0.015,0
97,-1.0,1,3,5,28,7,0.035,0
98,-1.0,1,2,2,7,2,0.01,0
99,-1.0,1,2,2,7,2,0.01,0

metric,mean,std,ci95,n
average_outbreak_delay,nan,nan,nan,0
cities_reached,1.0,0.0,0.0,100
peak_infections,8.57,6.080694737022119,1.1918161684563353,100
peak_infection_day,24.33,19.633539125329865,3.8481736685646535,100
epidemic_duration,52.66,33.38790079043484,6.544028554925228,100
attack_rate,0.20840000000000006,0.18879720294110247,0.03700425177645608,100
imported_infections,0.0,0.0,0.0,100
