seed,scenario,peak_infectious,attack_rate
1000,clustered,1,0.02
1001,clustered,4,0.18
1002,clustered,3,0.1
1003,clustered,2,0.04
1004,clustered,1,0.02
1005,clustered,2,0.1
1006,clustered,4,0.22
1007,clustered,3,0.12
1008,clustered,3,0.22
1009,clustered,5,0.3
1010,clustered,2,0.04
1011,clustered,3,0.16
1012,clustered,1,0.02
1013,clustered,5,0.24
1014,clustered,3,0.14
1015,clustered,2,0.06
1016,clustered,3,0.22
1017,clustered,1,0.04
1018,clustered,4,0.14
1019,clustered,5,0.32
1020,clustered,6,0.36
1021,clustered,1,0.02
1022,clustered,2,0.08
1023,clustered,3,0.14
1024,clustered,3,0.44
1025,clustered,1,0.02
1026,clustered,2,0.22
1027,clustered,2,0.12
1028,clustered,3,0.26
1029,clustered,2,0.06
1000,regular,4,0.1
1001,regular,6,0.42
1002,regular,9,0.46
1003,regular,4,0.44
1004,regular,4,0.16
1005,regular,4,0.12
1006,regular,8,0.42
1007,regular,1,0.04
1008,regular,10,0.58
1009,regular,7,0.52
1010,regular,1,0.02
1011,regular,2,0.12
1012,regular,1,0.02
1013,regular,10,0.6
1014,regular,6,0.66
1015,regular,2,0.06
1016,regular,2,0.04
1017,regular,1,0.02
1018,regular,2,0.08
1019,regular,1,0.02
1020,regular,1,0.02
1021,regular,3,0.08
1022,regular,4,0.36
1023,regular,2,0.08
1024,regular,1,0.02
1025,regular,1,0.02
1026,regular,4,0.18
1027,regular,2,0.04
1028,regular,2,0.12
1029,regular,7,0.76
